,Red,White,Rose,Fortified,Sparkling,Etc,Hard,
France,1296,468,31,5,286,0,16,2102
Italy,1108,377,25,4,186,0,26,1726
USA,887,318,26,0,24,3,1,1259
Chile,669,185,4,0,9,1,0,868
Spain,497,126,18,11,93,17,1,763
Australia,397,132,4,6,24,0,0,563
Argentina,210,43,1,0,6,0,0,260
New Zealand,55,95,0,0,4,0,0,154
Germany,7,116,2,0,9,3,0,137
South Africa,84,34,5,0,7,0,0,130
Portugal,33,15,1,61,2,1,0,113
Greece,31,22,3,0,2,0,0,58
Austria,17,23,2,0,2,0,0,44
Canada,3,17,0,0,1,0,0,21
Slovenia,5,13,0,0,1,0,0,19
Hungary,4,10,0,0,0,0,0,14
Georgia,7,6,0,0,0,0,0,13
Korea,2,3,0,2,3,0,0,10
Romania,4,2,0,0,0,0,0,6
Croatia,4,2,0,0,0,0,0,6
Uruguay,3,0,0,0,1,0,0,4
Bulgaria,2,1,0,0,0,0,0,3
Japan,1,2,0,0,0,0,0,3
Moldova,0,0,1,0,1,0,0,2
Israel,1,0,0,0,0,0,0,1
UK,0,0,0,0,1,0,0,1
