abv,degree,sweet,acidity,body,tannin,price,year
12.18544304,7.430379747,1.101265823,4,3.202531646,1,142898.7342,0.417721519
12,9,1.545454545,2.909090909,3.363636364,2.272727273,77272.72727,0.636363636
11.5,7.875,3.25,2.555555556,2.694444444,1,64538.88889,1.555555556
12.25,7.4,1.055555556,5,2.866666667,1.011111111,212777.7778,0.666666667
6.232142857,8,3.964285714,1.321428571,2.964285714,1,48891.88312,4.892857143
6.616666667,7.166666667,3.924242424,1.893939394,2.090909091,1.03030303,30523.07163,0.363636364
12.28076923,8.211538462,1,4.807692308,3,1,370932.6923,16.96153846
11.78314607,7.213483146,1.168539326,2.820224719,3.134831461,1,71911.23596,0.460674157
11.48024691,7.333333333,1.259259259,2.839506173,1.913580247,1,47543.20988,0.864197531
11.90298507,7.873134328,1.104477612,4.029850746,1.910447761,1,65693.43284,0.373134328
12.08333333,7.083333333,1,4.416666667,3.75,1,1135166.667,10.83333333
12.1254902,7.441176471,1.078431373,3.450980392,3.196078431,1,139390.1961,11.35294118
