,Table,Dessert,Appetizer,"Appetizer, Dessert","Appetizer, Table","Table, Dessert","Appetizer, Table, Dessert",
France,1672,49,102,15,259,5,0,2102
Italy,1330,112,59,74,112,35,4,1726
USA,1103,26,13,12,94,10,1,1259
Chile,825,9,3,2,27,2,0,868
Spain,588,39,42,25,57,11,1,763
Australia,497,23,5,8,28,2,0,563
Argentina,239,5,2,1,12,1,0,260
New Zealand,112,3,1,0,38,0,0,154
Germany,61,26,3,11,15,19,2,137
South Africa,107,6,1,5,10,1,0,130
Portugal,48,44,3,7,10,1,0,113
Greece,45,4,1,1,7,0,0,58
Austria,34,6,0,0,4,0,0,44
Canada,1,19,0,0,0,1,0,21
Slovenia,13,0,0,0,6,0,0,19
Hungary,5,8,0,0,1,0,0,14
Georgia,8,3,1,1,0,0,0,13
Korea,3,2,0,2,3,0,0,10
Romania,5,1,0,0,0,0,0,6
Croatia,6,0,0,0,0,0,0,6
Uruguay,3,0,0,0,1,0,0,4
Bulgaria,2,1,0,0,0,0,0,3
Japan,1,0,0,0,2,0,0,3
Moldova,0,0,0,0,2,0,0,2
Israel,1,0,0,0,0,0,0,1
UK,0,0,1,0,0,0,0,1
