,Red,White,Rose,Fortified,Sparkling,Etc,Hard,,,,
Chile,669,185,4,0,9,1,0,South America,,,
France,1296,468,31,5,286,0,16,Europe,Top,,
Italy,1108,377,25,4,186,0,26,Europe,Top,,
USA,887,318,26,0,24,3,1,North America,,,
Germany,7,116,2,0,9,3,0,Europe,Center,,
Spain,497,126,18,11,93,17,1,Europe,Atlantic,,
Australia,397,132,4,6,24,0,0,Oceania,,,
New Zealand,55,95,0,0,4,0,0,Oceania,,,
Argentina,210,43,1,0,6,0,0,South America,,,阿根廷
Portugal,33,15,1,61,2,1,0,Europe,Atlantic,,葡萄牙
South Africa,84,34,5,0,7,0,0,Africa,,,
Israel,1,0,0,0,0,0,0,Asia,,,以色列
Canada,3,17,0,0,1,0,0,North America,,,
Hungary,4,10,0,0,0,0,0,Europe,Center,,匈牙利
Romania,4,2,0,0,0,0,0,Europe,EastSouth,,罗马尼亚
Austria,17,23,2,0,2,0,0,Europe,Center,,
Greece,31,22,3,0,2,0,0,Europe,EastSouth,,
Korea,2,3,0,2,3,0,0,Asia,,,
Georgia,7,6,0,0,0,0,0,Europe,EastSouth,,格鲁吉亚
Bulgaria,2,1,0,0,0,0,0,Europe,EastSouth,,保加利亚
Uruguay,3,0,0,0,1,0,0,South America,,,乌拉圭
UK,0,0,0,0,1,0,0,Europe,Atlantic,,
Japan,1,2,0,0,0,0,0,Asia,,,
Slovenia,5,13,0,0,1,0,0,Europe,EastSouth,,斯洛文尼亚
Moldova,0,0,1,0,1,0,0,Europe,EastSouth,,摩尔多瓦
Croatia,4,2,0,0,0,0,0,Europe,EastSouth,,克罗地亚
,,,,,,,,,,,
Asia,4,5,0,2,3,0,0,,,,
Europe,3015,1181,83,81,583,21,43,,,,
North America,890,335,26,0,25,3,1,,,,
South America,882,228,5,0,16,1,0,,,,
Africa,84,34,5,0,7,0,0,,,,
Oceania,452,227,4,6,28,0,0,,,,
